experiment,where,instances,alfa,delta,bs,example,file-id
t10U100B,local,1,0.05,0.1,20,2,1
t10U100B,local,1,0.05,0.1,20,2,2
t10U100B,local,1,0.05,0.1,20,2,3
t10U100B,local,1,0.05,0.1,20,2,4
t10U100B,local,1,0.05,0.1,20,2,5
t10U100B,local,4,0.05,0.1,20,2,1
t10U100B,local,4,0.05,0.1,20,2,2
t10U100B,local,4,0.05,0.1,20,2,3
t10U100B,local,4,0.05,0.1,20,2,4
t10U100B,local,4,0.05,0.1,20,2,5
t10U100B,local,8,0.05,0.1,20,2,1
t10U100B,docker,1,0.05,0.1,20,2,1
t10U100B,docker,1,0.05,0.1,20,2,2
t10U100B,docker,1,0.05,0.1,20,2,3
t10U100B,aws.t2.small,1,0.05,0.1,20,2,1
t10U100B,aws.t2.small,1,0.05,0.1,20,2,2
t10U100B,aws.t2.small,1,0.05,0.1,20,2,3
t10U100B,aws.t2.small,1,0.05,0.1,20,2,4
t10U100B,aws.t2.small,1,0.05,0.1,20,2,5
t10U100B,aws.t2.small,4,0.05,0.1,20,2,1
t10U100B,aws.t2.small,4,0.05,0.1,20,2,2
t10U100B,aws.t2.small,4,0.05,0.1,20,2,3
t10U100B,aws.t2.small,4,0.05,0.1,20,2,4
t10U100B,aws.t2.small,4,0.05,0.1,20,2,5
t10U100B,aws.t2.small,8,0.05,0.1,20,2,1
t10U100B,aws.t2.small,8,0.05,0.1,20,2,2
t10U100B,aws.t2.small,8,0.05,0.1,20,2,3
t10U100B,aws.t2.small,8,0.05,0.1,20,2,4
t10U100B,aws.t2.small,8,0.05,0.1,20,2,5
t10U100B,aws.t2.2xlarge,1,0.05,0.1,20,2,1
t10U100B,aws.t2.2xlarge,1,0.05,0.1,20,2,2
t10U100B,aws.t2.2xlarge,1,0.05,0.1,20,2,3
t10U100B,aws.t2.2xlarge,1,0.05,0.1,20,2,4
t10U100B,aws.t2.2xlarge,1,0.05,0.1,20,2,5
t10U100B,aws.t2.2xlarge,4,0.05,0.1,20,2,1
t10U100B,aws.t2.2xlarge,4,0.05,0.1,20,2,2
t10U100B,aws.t2.2xlarge,4,0.05,0.1,20,2,3
t10U100B,aws.t2.2xlarge,4,0.05,0.1,20,2,4
t10U100B,aws.t2.2xlarge,4,0.05,0.1,20,2,5